10.07.2017 16:54:36 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 55 | Start Execute Method
10.07.2017 16:59:49 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 55 | Start Execute Method
10.07.2017 17:00:23 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 155 | Gelen SALES_INVOICES Logoya Aktarılmaya Çalışılıyor
10.07.2017 17:00:36 | <Bellek Modülünde> | CallSite.Target |  | 0 | 48263 Referanslı Gelen SALES_INVOICES Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
10.07.2017 17:15:27 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 55 | Start Execute Method
10.07.2017 17:15:51 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 155 | Gelen SALES_INVOICES Logoya Aktarılmaya Çalışılıyor
10.07.2017 17:16:05 | <Bellek Modülünde> | CallSite.Target |  | 0 | 48265 Referanslı Gelen SALES_INVOICES Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
10.07.2017 17:21:01 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 55 | Start Execute Method
10.07.2017 17:21:21 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 252 | Gelen SD_TRANSACTIONS Logoya Aktarılmaya Çalışılıyor
10.07.2017 17:21:51 | <Bellek Modülünde> | CallSite.Target |  | 0 | 6776 Referanslı Gelen SD_TRANSACTIONS Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
10.07.2017 17:24:07 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 55 | Start Execute Method
10.07.2017 17:24:33 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 351 | Gelen ARP_VOUCHERS Logoya Aktarılmaya Çalışılıyor
10.07.2017 17:25:08 | <Bellek Modülünde> | CallSite.Target |  | 0 | 19283 Referanslı Gelen ARP_VOUCHERS Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
10.07.2017 23:43:47 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 52 | Start Execute Method
11.07.2017 00:00:34 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 52 | Start Execute Method
11.07.2017 00:04:19 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 52 | Start Execute Method
11.07.2017 00:18:19 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 52 | Start Execute Method
11.07.2017 00:18:31 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 153 | Gelen SALES_INVOICES Logoya Aktarılmaya Çalışılıyor
11.07.2017 00:18:33 | <Bellek Modülünde> | CallSite.Target |  | 0 | 48274 Referanslı Gelen SALES_INVOICES Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
11.07.2017 00:24:41 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 52 | Start Execute Method
11.07.2017 00:25:33 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 52 | Start Execute Method
11.07.2017 00:26:28 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 52 | Start Execute Method
11.07.2017 00:28:02 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 52 | Start Execute Method
11.07.2017 00:28:08 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 251 | Gelen SD_TRANSACTIONS Logoya Aktarılmaya Çalışılıyor
11.07.2017 00:28:09 | <Bellek Modülünde> | CallSite.Target |  | 0 | 6787 Referanslı Gelen SD_TRANSACTIONS Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
11.07.2017 00:32:29 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 52 | Start Execute Method
11.07.2017 00:32:42 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 356 | Gelen ARP_VOUCHERS Logoya Aktarılmaya Çalışılıyor
