11.07.2017 23:47:11 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 53 | Start Execute Method
11.07.2017 23:47:14 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 470 | Gelen ARP_VOUCHERS Logoya Aktarılmaya Çalışılıyor
11.07.2017 23:47:15 | <Bellek Modülünde> | CallSite.Target |  | 0 | 19269 Referanslı Gelen ARP_VOUCHERS Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
11.07.2017 23:47:15 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 53 | Start Execute Method
11.07.2017 23:47:18 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 470 | Gelen ARP_VOUCHERS Logoya Aktarılmaya Çalışılıyor
11.07.2017 23:47:19 | <Bellek Modülünde> | CallSite.Target |  | 0 | 19270 Referanslı Gelen ARP_VOUCHERS Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
11.07.2017 23:47:19 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 121 |  : 113 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
11.07.2017 23:47:19 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 53 | Start Execute Method
11.07.2017 23:47:23 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 363 | Gelen ARP_VOUCHERS Logoya Aktarılmaya Çalışılıyor
11.07.2017 23:47:23 | <Bellek Modülünde> | CallSite.Target |  | 0 | 19271 Referanslı Gelen ARP_VOUCHERS Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
11.07.2017 23:47:23 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 121 |  : 115 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
13.07.2017 16:17:20 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 53 | Logoya Aktarılamaya Çalışılıyor
13.07.2017 16:19:24 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 53 | Logoya Aktarılamaya Çalışılıyor
13.07.2017 16:22:44 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 53 | Logoya Aktarılamaya Çalışılıyor
14.07.2017 00:44:06 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 51 | execute başladı
14.07.2017 00:45:04 | TDImporterXML.Business.dll | ImportXmlStr | TDImporterXML.Business.Concrete.LogoService | 56 | Logoya Aktarılamaya Çalışılıyor
20.07.2017 17:03:48 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 51 | execute başladı
20.07.2017 17:04:40 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 108 |  : TDImporterXML.Entities.MBI_DocumentType : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
21.07.2017 12:48:11 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 51 | execute başladı
21.07.2017 12:59:03 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 51 | execute başladı
21.07.2017 12:59:38 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 108 |  : TDImporterXML.Entities.MBI_DocumentType : HATA: errorKayıt Logoya Aktarılamadı.
01.12.2017 17:15:24 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:16:06 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:16:55 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:20:50 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
01.12.2017 17:20:56 | TDImporterXML.MvcUI.dll | Importer | TDImporterXML.MvcUI.Controllers.ManageImporterController | 123 |  : 304 : HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
