10.07.2017 14:59:25 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 516 | 07.09.2017 00:00:003404 YAYLADA SUREYYAPASA AVM115 115HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
10.07.2017 15:00:11 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 155 | Gelen SALES_INVOICES Logoya Aktarılmaya Çalışılıyor
10.07.2017 15:00:14 | <Bellek Modülünde> | CallSite.Target |  | 0 | 48255 Referanslı Gelen SALES_INVOICES Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
10.07.2017 15:00:14 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 247 | Gelen SD_TRANSACTIONS Logoya Aktarılmaya Çalışılıyor
10.07.2017 15:00:15 | <Bellek Modülünde> | CallSite.Target |  | 0 | 6765 Referanslı Gelen SD_TRANSACTIONS Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
10.07.2017 15:00:15 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 341 | Gelen ARP_VOUCHERS Logoya Aktarılmaya Çalışılıyor
10.07.2017 15:00:16 | <Bellek Modülünde> | CallSite.Target |  | 0 | 19277 Referanslı Gelen ARP_VOUCHERS Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
10.07.2017 15:00:16 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 516 | 07.09.2017 00:00:003401 TEPE NAUTILUS AVM109 109HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
10.07.2017 15:00:16 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 516 | 07.09.2017 00:00:003401 TEPE NAUTILUS AVM110 110HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
10.07.2017 15:00:16 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 516 | 07.09.2017 00:00:003401 TEPE NAUTILUS AVM111 111HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
10.07.2017 15:00:17 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 516 | 07.09.2017 00:00:003401 TEPE NAUTILUS AVM112 112HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
10.07.2017 15:00:17 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 516 | 07.09.2017 00:00:003401 TEPE NAUTILUS AVM113 113HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
10.07.2017 15:00:17 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 341 | Gelen ARP_VOUCHERS Logoya Aktarılmaya Çalışılıyor
10.07.2017 15:00:17 | <Bellek Modülünde> | CallSite.Target |  | 0 | 19278 Referanslı Gelen ARP_VOUCHERS Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
10.07.2017 15:00:18 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 516 | 07.09.2017 00:00:003401 TEPE NAUTILUS AVM115 115HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
10.07.2017 15:05:46 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 247 | Gelen SD_TRANSACTIONS Logoya Aktarılmaya Çalışılıyor
10.07.2017 15:05:47 | <Bellek Modülünde> | CallSite.Target |  | 0 | 6767 Referanslı Gelen SD_TRANSACTIONS Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
10.07.2017 15:05:47 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 341 | Gelen ARP_VOUCHERS Logoya Aktarılmaya Çalışılıyor
10.07.2017 15:05:47 | <Bellek Modülünde> | CallSite.Target |  | 0 | 19279 Referanslı Gelen ARP_VOUCHERS Logoya Aktarıldı. Aktarılan Kayıtlara İşlendi.
10.07.2017 15:05:47 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 516 | 07.09.2017 00:00:00601 ANKARA OPTIMUM AVM109 109HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
10.07.2017 15:05:48 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 516 | 07.09.2017 00:00:00601 ANKARA OPTIMUM AVM110 110HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
10.07.2017 15:05:48 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 516 | 07.09.2017 00:00:00601 ANKARA OPTIMUM AVM111 111HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
10.07.2017 15:05:48 | TDImporterXML.Business.dll | Execute | TDImporterXML.Business.Scheduler.ImporterJob | 516 | 07.09.2017 00:00:00601 ANKARA OPTIMUM AVM112 112HATA: error : tabloda veri yokKayıt Logoya Aktarılamadı.
